segment_type,segment_value,n,fold_count,baseline_mape,current_best_mape,rolling_mean_2_mape,rolling_mean_3_mape,rolling_median_3_mape,damped_add_mape,damped_ratio_mape,outlier_smoothing_mape,segment_region_mape,segment_area_mape,ml_ratio_mape,analog_knn_mape,best_model_in_segment,best_model_mape,improvement_best_vs_current,signed_bias_current_best,median_pred_div_true,same_bias_sign_folds,stability_score
region_x_trend,Краснодарский край__2,327,1,12.675868469293263,12.693412905772991,12.655092007983187,9.489118266419599,12.409935814417826,12.6837992077553,12.682874746628753,11.950433802714521,12.769181147579816,12.68836525500122,12.70543397651521,12.753140433178535,rolling_mean_3,9.489118266419599,3.2042946393533924,0.11351122529483662,1.0817649109162182,1,3.2042946393533924
Населенный пункт,Геленджик г,105,3,38.818676476623764,38.778600244905164,56.171813545327026,60.309894684600174,72.46299483073442,36.14869462210152,37.791052427178165,40.59332304004471,38.93014931716218,38.82465670173502,38.83659429114005,38.909799778203514,damped_add,36.14869462210152,2.6299056228036406,0.3750148696098409,1.3602394188363307,3,2.6299056228036406
Населенный пункт,Анапа г,114,3,32.695393988020626,32.67585981087861,48.237569171370566,52.82620840695837,63.794618982264424,30.223864540686215,32.01911503538328,33.74654447236035,32.81639554454376,32.69706969354507,32.71412712347762,32.84070600244027,damped_add,30.223864540686215,2.4519952701923984,0.32321450627161463,1.1515368129329142,3,2.4519952701923984
region_x_trend,Краснодарский край__0,674,1,17.478623753082275,17.439657228938373,29.456469118580937,34.31048083392317,41.73528767097228,15.350477814089588,16.633667678115685,19.466476630080834,17.500793281800618,17.478994567835887,17.474069984143377,17.46011875421695,damped_add,15.350477814089588,2.0891794148487843,0.12914243299533984,1.0061279082668078,1,2.0891794148487843
region_x_trend,Ленинградская обл__0,502,2,14.037210747041337,13.965299682263897,21.46368749691618,25.22625120742043,27.164126128900556,12.57465195241369,13.030791894475271,15.084762948648342,14.054668893879684,14.034878479730587,14.030764294064642,14.034448190533917,damped_add,12.57465195241369,1.3906477298502065,0.1195073515316712,1.1055297618682096,2,1.3906477298502065
Населенный пункт,Можайск г,108,3,15.830485260002847,15.803432848459444,21.102738698055443,23.163778141588644,24.01817370012572,14.636009718533955,15.138946736067224,16.293337558983726,15.909787810605103,15.829229803327816,15.826340304535844,15.949707670213868,damped_add,14.636009718533955,1.1674231299254885,0.15135238655743052,1.1455486636096732,3,1.1674231299254885
region_x_trend,Краснодарский край__3,438,2,8.721025390122922,8.741277438821456,8.301257932065564,6.448080907574396,7.8200611769858295,8.875235766578788,8.852542217984276,8.14294565573087,8.769907223719866,8.725921191747288,8.736336502979766,8.753736182158885,rolling_mean_3,6.448080907574396,2.2931965312470597,0.0649076853247737,1.0421843250077372,1,1.1465982656235298
region_x_trend,Московская обл__0,1784,3,11.371086609132899,11.315323524707244,17.744425886245438,20.991113666498027,22.72260697243266,10.224137302258415,10.559972318468747,12.273168086842432,11.415385037811957,11.371462620376436,11.366943041545188,11.329472764233373,damped_add,10.224137302258415,1.0911862224488296,0.09097328322830321,1.079799897342099,3,1.0911862224488296
region_x_trend,Краснодарский край__1,393,2,11.326743111541186,11.326048947885658,11.983843124049338,9.652834089923001,11.306957677889839,11.201228513694728,11.224082374019762,10.80137634743705,11.377124703802474,11.33120848449218,11.340920728327625,11.377849859839621,rolling_mean_3,9.652834089923001,1.6732148579626571,0.0832862577803615,1.0455648236066026,1,0.8366074289813286
region_x_trend,Москва г__4,1006,2,6.644242894643282,6.58554133707665,10.65604227955401,11.89303646520029,13.464963689392983,5.779660400095472,5.851762461414156,6.88987956746246,6.698646613625212,6.651733275318158,6.6747119365463385,6.638246636965652,damped_add,5.779660400095472,0.8058809369811781,-0.0580588763790266,0.939964870889929,2,0.8058809369811781
region_x_trend,Владимирская обл__0,336,2,9.492672133513663,9.44902719322101,14.73904267412569,17.277731468142168,18.218004275386562,8.691349062620677,8.899372962507424,10.022395770083794,9.524642372209852,9.493721046524348,9.498240139003451,9.523534819566837,damped_add,8.691349062620677,0.7576781306003326,0.07243643690441652,1.0673507571441554,2,0.7576781306003326
Количество касс,17,237,3,11.448222495372026,11.433595706937853,15.412874440613248,17.196555524675855,18.795322522149284,10.739710423058545,11.164885116507767,11.975518100927506,11.482361134984309,11.44774351993151,11.455124398400834,11.475504389023842,damped_add,10.739710423058545,0.6938852838793075,0.053700709455464124,0.9861204519016739,3,0.6938852838793075
region_x_trend,Московская обл__4,704,2,7.694479301890424,7.729800417441891,6.956853140175716,6.442601466800662,7.161441353898027,8.041336842252491,8.01185380186349,6.857993094724833,7.730185914868258,7.699681989196417,7.694003177903975,7.943615054640751,rolling_mean_3,6.442601466800662,1.287198950641229,0.030877357686168668,1.0288535567306605,1,0.6435994753206145
region_x_trend,Ростовская обл__3,380,2,4.494346694015834,4.506200905172184,4.185328252860533,3.922300084716377,4.043914036624793,4.6530490802407165,4.629454999168928,4.466696083807157,4.499080130273721,4.498380629889747,4.493923720601646,4.542436491647759,rolling_mean_3,3.922300084716377,0.5839008204558072,0.027009997981349836,1.0237832538932032,2,0.5839008204558072
Населенный пункт,Стерлитамак г,120,3,4.4710299644234714,4.490109055863868,4.072161826120404,3.7046195661984522,3.854680640213559,4.639355949733927,4.6172971927280155,4.4710299644234714,4.501989638981276,4.476171520954882,4.483958355357996,4.585580149059045,rolling_mean_3,3.7046195661984522,0.7854894896654154,0.0036931044154487522,1.0028181236074725,2,0.5236596597769436
area_x_volatility,Большой__4,1979,3,11.288865049154285,11.260058005911644,15.680328537772965,17.454456121947906,18.4058876087986,10.75007185584266,10.916400351332717,11.530779689313327,11.315598376621693,11.266500503512264,11.281463184342922,11.343665438039366,damped_add,10.75007185584266,0.5099861500689844,0.06345797121338836,1.049275290623467,3,0.5099861500689844
Населенный пункт,Энгельс г,168,3,6.217338084968973,6.2344897242207,6.211142822408265,5.905262538165966,5.5371992773351035,6.410847332047818,6.387065734990775,6.166326844405696,6.229303467594621,6.220818429422867,6.222000141120891,6.314254437544274,rolling_median_3,5.5371992773351035,0.6972904468855967,0.014360047890125502,1.0133122136272803,2,0.4648602979237311
region_x_trend,Татарстан Респ__4,379,2,6.195192123880013,6.223579156258492,5.756022320820584,5.303641499936677,5.715191733636067,6.617879926002153,6.572150795031027,5.747151378023449,6.193644885015814,6.200090698835765,6.194769039372538,6.340260392840128,rolling_mean_3,5.303641499936677,0.9199376563218156,0.02974229191077035,1.018868247490105,1,0.4599688281609078
area_x_volatility,Маленький__4,2594,3,10.935085075385864,10.912146562158954,15.248622553700168,16.869890641832164,17.99118252387974,10.453590320284736,10.629929184523062,11.111860149980702,10.955662638848608,10.936364882417307,10.945701267914563,11.022067862738995,damped_add,10.453590320284736,0.4585562418742182,0.07813746087185545,1.0637763281611543,3,0.4585562418742182
region_x_rto_decile,Ленинградская обл__9,370,3,11.993313585844152,11.981778559421171,14.827109667371111,15.6643613186034,16.3495817054203,11.525847353293766,11.720282140809122,12.0081405534297,12.044753995372059,11.97223375387606,11.982123740236942,12.117799886737851,damped_add,11.525847353293766,0.45593120612740456,0.10484694782719227,1.0909049791535008,3,0.45593120612740456
Населенный пункт,Сочи г,426,3,13.8081794913584,13.780403479311909,19.6051374992661,20.5257322716756,24.974166160920927,13.103923784751675,13.392334969784512,14.187297066359609,13.866988344065142,13.812961942827455,13.819581445206893,13.80706611411595,damped_add,13.103923784751675,0.6764796945602338,0.11875395839448596,1.0639198565109236,2,0.4509864630401559
area_x_trend,Маленький__0,3604,3,8.705437586766356,8.67905415692195,12.73557804402721,14.78183743233355,15.730750331252587,8.24736601240425,8.381373486522056,9.042755252916015,8.716244477652896,8.705718547748651,8.7063517498426,8.73445025740148,damped_add,8.24736601240425,0.4316881445177003,0.044241258312560997,1.0304280235565988,3,0.4316881445177003
