scope,model_name,mape,mae,median_ape,p90_ape,p95_ape,p99_ape,mean_signed_error,median_pred_div_baseline,mean_delta_vs_current_best,max_delta_vs_current_best,share_delta_gt_0p1pct,share_delta_gt_0p3pct,share_delta_gt_1pct,share_delta_gt_3pct,share_temporal_better_baseline,share_cluster_better_baseline,share_temporal_cluster_same_direction
fold8,baseline_last_month,5.197671924301005,1702158.5484530681,0.036573963927016034,0.10902226010564182,0.14056109941668232,0.24682264145428282,0.03563869340657411,1.0,-26338.465602930628,2177053.934502989,0.3995634246907592,0.0831918505942275,0.0,0.0,0.39117147707979627,0.31137521222410863,0.7626970652437546
fold8,ratio_shrink_b0p06,5.2240442407623355,1711074.51787789,0.03673591961205105,0.10958663177536605,0.14106830424190958,0.24743360494298822,0.03594110820393309,1.0003083050149433,-17091.135586819393,1846873.839041561,0.2683482900800388,0.0035411108416201795,0.0,0.0,0.39117147707979627,0.31137521222410863,0.7626970652437546
fold8,cluster_blend_v1,5.264983464099799,1726918.173717194,0.03699090045809943,0.11100527067868846,0.1423712668251984,0.24904013405855044,0.03636275379486497,1.0002907184011838,0.0,0.0,0.0,0.0,0.0,0.0,0.39117147707979627,0.31137521222410863,0.7626970652437546
fold8,temporal_ridge_ratio_v1,5.314116572671728,1750046.8882578404,0.037052768208936174,0.1128061795634119,0.14491214405508931,0.25280213837203935,0.03634584609651721,1.0,6878.597978478808,5080602.006179363,0.5814698035411109,0.11690516614115935,0.0137763764249333,0.0,0.39117147707979627,0.31137521222410863,0.7626970652437546
fold9,baseline_last_month,9.031903165954883,2960231.690677662,0.06239797690441941,0.1957737149711685,0.2591670066343724,0.45365002723672065,0.053862698379204446,1.0,20831.73705663654,1015387.4044917524,0.3326703856415232,0.04501576521950036,0.0,0.0,0.574678632064031,0.5379092893524133,0.523453795779772
fold9,ratio_shrink_b0p06,9.01412870866971,2955391.339884711,0.06228825930928699,0.19509822304800115,0.2584307577886225,0.45320113935252704,0.05358199297202576,0.9997509177426294,12192.368341309098,1103239.4316628277,0.36196943972835316,0.025951976715983507,0.0,0.0,0.574678632064031,0.5379092893524133,0.523453795779772
fold9,cluster_blend_v1,9.009693903081324,2953414.619797026,0.0625372994189478,0.19531955771674203,0.2583117523327273,0.45106586548103744,0.053269897880071686,0.9997959422741273,0.0,0.0,0.0,0.0,0.0,0.0,0.574678632064031,0.5379092893524133,0.523453795779772
fold9,temporal_ridge_ratio_v1,8.971215493499693,2933992.070099799,0.062407588370011716,0.19387004008319192,0.25693105403724925,0.44927415551388167,0.05348798156762373,1.0,3894.184746826356,6909178.510233074,0.6306572883822459,0.17846228474411835,0.015425660926509823,0.00019403347077370846,0.574678632064031,0.5379092893524133,0.523453795779772
fold10,baseline_last_month,6.365661473862552,2146207.983821974,0.05278359990051487,0.10740107204726526,0.13540979731168654,0.29431574745239325,-0.029188691883339658,1.0,4283.46635062226,1268697.2140496671,0.25069124423963135,0.06839679844773223,0.0,0.0,0.6214892068881882,0.3069124423963134,0.5795294688333738
fold10,ratio_shrink_b0p06,6.360337883749957,2142605.649344973,0.05283064370907872,0.10697303560800094,0.13478289069445762,0.29341887743528366,-0.029496893038029777,0.9996935676747996,-3354.1142895279145,1184407.1815170199,0.3320397768615086,0.0636914867814698,0.0,0.0,0.6214892068881882,0.3069124423963134,0.5795294688333738
fold10,cluster_blend_v1,6.379678922329825,2149600.0389972082,0.05296063885188289,0.10735548556791874,0.13547456536057823,0.2924947423848753,-0.029353289992945758,0.9994637709492866,0.0,0.0,0.0,0.0,0.0,0.0,0.6214892068881882,0.3069124423963134,0.5795294688333738
fold10,temporal_ridge_ratio_v1,6.164473234286401,2060878.0703301134,0.05103262189387142,0.10398844757728166,0.13037472391868002,0.28579008491709773,-0.02974396520660598,1.0,10197.308894349191,3665988.7086334825,0.8280378365268009,0.529129274799903,0.08823672083434392,0.0027164685908319186,0.6214892068881882,0.3069124423963134,0.5795294688333738
test,baseline_last_month,,,,,,,,1.0,-16978.88924801862,909413.5809371024,0.5587193790928935,0.03749696822701916,0.00014552510308028134,0.0,,,0.6601018675721562
test,ratio_shrink_b0p06,,,,,,,,1.0004071817001394,-4905.563984445106,809313.2610875815,0.5112781954887218,0.0486538927965074,0.0,0.0,,,0.6601018675721562
test,cluster_blend_v1,,,,,,,,1.0002393476803009,0.0,0.0,0.0,0.0,0.0,0.0,,,0.6601018675721562
test,temporal_ridge_ratio_v1,,,,,,,,1.0,-20127.277598079472,3057717.4046522826,0.6639825369876303,0.20664564637399951,0.014018918263400437,0.0,,,0.6601018675721562
